,reviews,ratings,dine_in_time
1278,"A good friend is getting married so six of us met at Fogo De Chao for dinner as a last supper for our good bachelor friend.  In a thank you email to all of us the groom to be said, ""... and what a fantastic choice of a restaurant"".",5," October 27, 2016"
1279,OK but not more.I was disappointed about the variation of Meat and the service lever was not high I have definitly seen better!,3," October 26, 2016"
1280,"I had the wrong expectations here. You help yourself to the salad bar to start off. Everyone has their own coaster on the table that you flip to green if you want the waiters to bring meat, and red if you want them to stop bringing meat. For those of you that have been here you know this, but I had not and did not.  Not quite the upscale steak experience I was expecting, but a fun place if you know what you are getting into.",3," October 26, 2016"
1281,"Fogo de Chao has been my favorite restaurant for years, and every year, my boyfriend takes me there for my birthday. The food is always top-notch: best buffet I've ever had with a wide selection of vegetables and salads, and, of course, an exquisite and delicious meat selection. This most recent meal at Fogo de Chao reminded me that one of my favorite things about the place is the zero wait once you sit down, since you can just go up to the buffet as soon as you put your drink order in. This is great if you have kids, and also means you can eat an A+ dinner in a short amount of time if you need to, as you don't have to wait for food prep. Finally, what stuck out to me in particular this time was the exceptional service from the hostess and staff. The hostess came by several times to ask us how we were doing and how our meals were, and our waitress was also very attentive. I can't wait to come back.",5," October 24, 2016"
1282,Simply amazing!,5," October 24, 2016"
1283,Tremendous food and ambiance!  Such a fun dinner with so many meat choices.,4," October 22, 2016"
1284,Everything was great. Staff was the best. Food to die for.,5," October 22, 2016"
1285,The most amazing restaurant. The manager was super helpful. All the staff helped me to successfully surprise my twin friends!,5," October 22, 2016"
1286,This is our third time to Fago de Chao.  Food and service are outstanding.  Lots of fun too.,5," October 22, 2016"
1287,"Second time to this place. First time we like it a lot, now not so much..We felt rushed the entire time, we had to ask for the guys with the meats to stop by, the servers was on top of asking to clean our plates no stop. On top of all, while my friend was enjoying her desert, the bus was standing by our table holding a tray of dirty plates, watching her constantly. We felt so uncomfortable. More so, when you spend almost $500 for a dinner, you hope for a better treatment. I counted about 3 managers on the floor that night, but not one stop by our table to check on us. Second time will be last time for us.",3," October 22, 2016"
1288,"This Was an amazing experience to say the least! I would highly  recommended eating here. The atmosphere  was great, the food was amazing!  The wine  list was supurb as well as specialty cocktails! I enjoyed myself so much....the butternut soup was my favorite side dish...mashed potato as well of course! The meat......omg... was out of this world. .top sirloin melts in your mouth parmesan crusted pork...ribs...pork sausage. ...and the servers were so nice! I can't to go back and experience this wonderful restaurant again!",5," October 22, 2016"
1289,The food was amazing. <br/>The prices were high.<br/>Getting the check took a while. <br/>4/5,4," October 21, 2016"
1290,Everything was great beaside the table. I called days before our arrival date saying I want to reserve a table in a good spot as it was my husbands birthday. When we arrived there was no table ready for us. We had to walk around with the lady to find a table for ourselves. And found a table that I really didn't like the location. We had to sit there. It wasn't very nice to experience but beside everything was great.,4," October 21, 2016"
1291,"It was good for the experience but now that we have eaten there, I don't see us going to another Brazilian steak house.",4," October 21, 2016"
1292,What’s not to love? Perfectly cooked proteins with equally seemingly endless choices of delicious sides...if you have room try the desserts.,5," October 21, 2016"
1293,We always come to FOGO. We love it here! Service cannot be beat and the food is amazing,5," October 20, 2016"
1294,"One of our favourite restaurants! absolutely love this place. All you can eat meat, and the food is absolutely delicious! Bacon wrapped sirloin is my fave and the key lime cheesecake!! Staff is really great!",5," October 17, 2016"
1295,Fantastic experience.  Excellent food and service. Will return again five star <strong></strong>*,5," October 17, 2016"
1296,"We went there for our dad's 70th birthday dinner. We had reservations and were seated promptly upon our arrival. The food was fantastic. The meat servers were wonderful and did not miss a beat to serve us. The drink server, however, did not bring our drinks to us in a timely fashion. So much that we received the bill before our second drinks were served. Had we known we would not have ordered a second round. We should have known as the first round he took the drink order for half the table and then walked away. We called him back to finish the drink order. When he brought the table (table of 8)the drinks he only brought 6 of them and we had to ask a few times before the others were brought to the table. Would I go back there, absolutely.",4," October 15, 2016"
1297,"Amazing food, staff and ambience! Great location amazing experience!",5," October 15, 2016"
1298,"If you like to eat dead animals, this is your spot. The Meats are all great cuts, cooked fantastically, brought to your table. The best part is the variety; Gauchos walk around with various meats cooked various ways and you can try a little of this and a little of that and everything is offered at all cook lengths (rare, medium rare, medium ,medium well etc.). <br/><br/>The food bar/salad bar has a lot of options. I went for the meat so the only thing that we got from the salad bar was smoked salmon, some sun dried tomatoes and some cheeses (to eat with the meat). <br/><br/>It's on the pricier side, but for Boston it's not even that badly priced (prices here are ridiculous).  for about $50 each, you'll be stuffed to the brim and will have fully enjoyed yourself up to that point.",5," October 15, 2016"
1299,"We informed that we are celebrating a birthday. They brought cake/ice cream with a lit candle and a HappyBirthday garnish after we were done with the food and drinks. Our server checked on us regularly. The meat servers showed up very quickly and regularly as well. The restaurant is pretty spacious and great for big family get-togethers. It is a full bar. The meat was a little over-seasoned, but overall pretty tasty.",5," October 14, 2016"
1300,Fogo just never fails you.,5," October 14, 2016"
1301,Great food!  The salad Bar is awesome ! Delicious! No complaint at all!,5," October 13, 2016"
1302,"The food was great and the staff was working together as a team which was awesome. We sat next to a large party and they were pretty loud, but you can tell it wasn't the norm as everyone else was pretty relaxed.",5," October 13, 2016"
1303,Great value... awesome staff my glassware never emptyaempty and the food kept coming,5," October 13, 2016"
1304,The food was fabulous. We were there at lunchtime and the wait staff was extremely attentive.,5," October 13, 2016"
1305,Had a great time here on our honeymoon the servers surprised us with a desert that said happy honeymoon!!!,5," October 9, 2016"
1306,Authentic meat fest.  Service was fantastic . The Round table we were sat at made this business dinner meeting perfect for 9 of us. There were times when the delivery of meat was delayed and times when there was too much delivery.,5," October 8, 2016"
1307,"The cheeses were great, and the meats were phenomenal. The Cauliflower Sirloin was amazing.",5," October 8, 2016"
1308,This restaurant never ceases to amaze me.  The food is so tasty.  It will definitely fill you up.. come hungry!,5," October 8, 2016"
1309,"Meats weren't very flavorful and were too salty. Mashed potatoes tasted fake. Way too pricey for ""lunch"" and definitely NOT a date pace due to the constant interruptions. Will stick to a traditional steak house next time.",1," October 8, 2016"
1310,This was my first time at Fogo de Chao. Went for my friends birthday and had a wonderful time. Food was great and service was amazing. Looking forward to my next visit!,5," October 7, 2016"
1311,"Was surprised about the lack of customer service, in a setting where your staff is the focal point along with the food, of course.  Our initial waiter was informative and courteous but that was the last we saw of him. A number of other staff people descended upon our table at various times, the serving staff was exceptional and the highlight of the night.  Waited for coffee and dessert for over 20 mins...and another 20 minutes for the bill.  Would say that they either need re-training or bring on additional help.",3," October 7, 2016"
1312,"The last time I had eaten in a restaurant such as this I was in Brazil. Fogo de Chao's food was fun and good. The salad bar had several typically Brazilian items. The meats were cooked perfectly. The wait staff was helpful, friendly, and made dining a real pleasure.",5," October 3, 2016"
1313,Sunday brunch with sister from out of town.  Nothing so fine as a Churrasco chat.,4," October 2, 2016"
1314,I loved the ambiance and the waiters were very friendly. The food was delicious and fulfilling. Only issue was my family and I were sitting next to the door which made us cold. Besides that it was a nice night out celebrating my sisters birthday! :),5," October 1, 2016"
1315,"We love this place we come once or twice a year for birthdays. Normally the service is great but  the main waiter seemed overwhelmed from the time we sat down till the time we left. their was also a large party of at least 20-30 people preparing to sit next to us and I felt that we were forgotten a little bit in the process only being a table of 5. The food was good but we were in the corner and a lot of the options did not make it to us. But I must say one of the waitresses came over and we asked( after we asked our waiter) for lamb chops, this is one of my boyfriends favorite items , as we had not seen them at all and she made sure that they came to the table and even followed up when they did not arrive right away. Overall still a happy meal as the food as always made up for the slow service.",3," October 1, 2016"
1316,Over priced. Bad service. Champagne glass cut my lip from a chip in it and they didn't even take off the bill. Drink prices tooo high,4," September 30, 2016"
1317,We came here for my birthday and I've been wanting to try it for awhile after driving by it so many times and I've heard good things. The server was nice and the people brought the cuts of meat over very quickly. I never had to wait very long. There were so many sides that I don't think I even got to try them all. I was super stuffed when I left. All the meats were cooked perfectly and were well seasoned. I would definitely come back.,4," September 30, 2016"
1318,"This was my second visit. I was completely impressed the first time by the variety in the salad bar, the attentive service and meat variety and service.  This time however,  the service was less attentive, the meat was seasoned excessively with SALT it was almost inedible. Did the chef roll a thick layer of salt on the meat? Not necessary. The variety of meat was very limited compared to our first visit. The staff kept coming to our table with the same choices. We eventually asked where the filet mignon, lamb, etc was.  We also saw a very interesting cut of meat being searched on an attractive board but that was never offered. A little disappointing the second time around.",3," September 25, 2016"
1319,"Sevice not good as other units.   Unhappy and unpolite waiter Foodbar used to be better.<br/>parking fee U$ 20,00",3," September 24, 2016"
1320,The food was just not that good. All the meat was over-flavored and usually too salty. The mashed potatoes hardened within 10 minutes. The only OK part of the food was the salad bar.,3," September 24, 2016"
1321,"The food was excellent and everyone enjoyed everything they ate.  Compared to other locations my family and I have visited, the service in Boston falls short to the service in Pennsylvania, Indianapolis, and Baltimore, but the food quality remains the same.",4," September 24, 2016"
1322,Great food and impeccable service. The waiters  are attentive and funny. Great place for large groups. Food is fresh and delicious. Meat was a little salty but tender and succulent.,5," September 24, 2016"
1323,"Most meats are oversalted. Not as many hot dishes (other than meats) as other Brazilian steakhouses I have visited. Also disappointed in the lack of filet. In more than an hour, only one server came by with a single leftover piece (lukewarm) and not enough for my table. We tried to find another server with filet, but perhaps they didn't make it to our dining area. Overall, an expensive disappointment. I really wanted to like this place, but alas...",3," September 24, 2016"
1324,Great food and service - being able to eat a lot of types of cuts/meats was great,5," September 23, 2016"
1325,"We had a great time! It was my daughters 21st Birthday. I mentioned it in the reservation and they brought out a dessert with happy birthday written on the plate! The service was flawless, never wanting for anything. Even our water glasses stayed full. The manager stopped by our table to ensure we were enjoying our selfs. The food/ meats were amazing. I absolutely plan on going back. Also great option for gluten free dinning.",5," September 23, 2016"
1326,Too expensive for such a very bad food!<br/>Steaks were really salty and didnt taste fresh! Taste like they never clean the grill<br/>Carpirinha were very good tho!,1," September 19, 2016"
1327,visitors and guests always have a fantastic experience and for some Fogo has become their favorite.,5," September 19, 2016"
1328,"My hesitation about the restaurant is that if you are unaware of the way it works (we were unaware), you will be surprised by the price.  We assumed it was a regular ""order what you want off the menu,"" but instead it's a huge buffet of really nice salads and some vegs and then these ""gauchos"" walk around with these different cuts of meat.  And it's expensive.  We would not have been bothered by this if we knew the premise, but it was a surprise that we weren't thrilled about.  Our servers were lovely and the restaurant is as well.",3," September 18, 2016"
1329,"Fogo de Chao has amazing food and it is all you can eat, but I could not eat there all the time. I prefer to go there for special occasions, as the meal can get expensive, especially with drinks. Their wine list is thorough and they have amazing desserts, but I never have them because I am so stuffed from the great Brazilian food.<br/><br/>This place is for meat lovers only. Although they have a great salad bar, if you are a vegetarian, I would go elsewhere.",5," September 17, 2016"
1330,"Good food at Fogo de Chao! It was my birthday and first time visiting. There is a buffet and also several meat cutters with various meats that will cut to order. I had fantastic lamb, pork tenderloin parmesan, ribs, and sirloin. All were done nicely.",5," September 17, 2016"
1331,This is with out a doubt the best dinner I have had for a long time :).  <br/>I just can't wait to return someday.<br/><br/>Best regards<br/>Birgir,5," September 16, 2016"
1332,"This restaurant does best with the larger pieces of meat that you can request the way you like it - medium-rare, rare, etc.  The smaller pieces of meat seemed to be all overcooked - the lamb chops where well done - but, it was seasoned well, so it wasn't horrible.  Other small pieces of meat that they just take off without slicing seemed to be overcooked as well (I prefer my meat medium-rare).  Also, I don't know how they decide what tables to come to - there were times some selections of meat never came to our table, and one time the server did come, gave two of us slices, then took off running in the other direction, leaving my friend (who had her card turned to green) with nothing.  She tried calling him, but he took off too fast.  The food was mostly good and the buffet was good too.  But, I just came back from Germany where I ate at a Brazilian steak house, and they did everything perfect, so this one didn't live up to my expectations.",4," September 16, 2016"
1333,"this is not a place for anybody who knows the difference between Prime beef and choice or select, had to try it out, I loved the Salad Bar and the service was really good, but the Quality of the beef was really really bad, less than Choice, my guess is select. because the quality of the beef is so low you must have it cooked at least medium, and I like my beef rare, tried a few of the cuts rare and it was like shoe leather with little or no marbling, only two cuts were passable, the ribeye and the short rib roast, the rest ended up in a pile on a plate. for the quality, the price should be half of what  it is. if you don't know better you will love the place.",2," September 16, 2016"
1334,"Excellent dinner.  Everything cooked perfectly, servers attentive to requests for medium rare, well done etc.  the food at Fogo is consistently excellent.  Great service as well.",5," September 16, 2016"
1335,Food quality was amazing!!! Service was impeccable! And tasted amazing!,5," September 15, 2016"
1336,We had a delightful meal and would recommend this spot to anyone.  (Maybe not the best spot for vegans?),5," September 11, 2016"
1337,"We went with another couple for my wife's birthday.  It was a great experience, though it took more than 10 min to be approached by a wait staff member after being seated.  Drink refills were slower than desired, but the food was outstanding, and one of the waiters overheard it was my wife's birthday and brought out a desert with a candle for free.  They didn't make a big scene which was perfect and appreciated.  We will definitely go back when Brazilian BBQ is desired.",5," September 10, 2016"
1338,Fun place to eat,3," September 10, 2016"
1339,Another superb dining experience.  From the time we arrived to the time we left we were well taken care of. The staff are very accommodating and respectful. The food is delicious...fresh and full of flavor.,5," September 8, 2016"
1340,"Great food and plentiful.<br/>Wonderful salad bar with 101 choices!<br/>Attentive service.<br/>The waiters and waitresses were always readily available. <br/>Nice and convenient location.<br/>Easy to walk to, or take public transportation.<br/>Lots of fun for a first time visit to the restaurant.",1," September 5, 2016"
1341,"Good food, good environment, nice and kids-friendly stuff.",5," September 5, 2016"
1342,"This our third visit.  The food and service were excellent each time we have visited.  You want to come here hungry &amp; with an empty stomach.  From the wines, cocktails,   fresh market table (buffet), meats, &amp; sides, to coffees, desserts, after-dinner drinks, we   have no complaints.  We especially enjoyed the lamb chops,  house special sirloin,  key lime pie and Irish coffee.",5," September 4, 2016"
1343,"My 15 year-old son and his friend certainly enjoyed and got their money's worth!  They loved being able to select the meats to be carved off for them at the table. The salad bar was fresh &amp; has a very impressive range of items but as it's a set price menu,  you really have to go with a hearty appetite to feel you have had good value for money!",4," September 3, 2016"
1344,"The food was Fantastic, the service incredible!!!!",5," September 2, 2016"
1345,"At around $80 per person this is definitely a ""special occasions only"" kind of place, but my god is the food delicious!",5," September 2, 2016"
1346,Excellent food and salad bar to die for!  Great atmosphere and experience...totally worth it!,5," September 1, 2016"
1347,"Had a great mid-week dinner.  Suggest you avoid dining on weekends.  The servers are more attentive during the week, and the food seems better prepared.",4," August 31, 2016"
1348,"I've been to this location a number of times over the years, and we always have a great experience.  However, at our last visit, there were several problems with the food and service.  The cuts of meat, which usually produce moans of delight around the table, tasted unseasoned and uninspired.  Also, the gauchos often chose meat that did not match my request.  I always say, ""medium rare,"" but some of my cuts were deep red in the middle while others were cooked through.  I would have respected the gaucho saying, ""I do not have medium rare right now, but I will be back with some shortly,"" rather than just cutting off a slice of whatever.  Finally, our waiter was very slow to refill our waters and ask if we wanted a second cocktail.  By the time the meal had ended, we just asked for the check instead of selecting a dessert or ice wine, as we often do.  It was a disappointing experience, especially for $165 (for two people).",3," August 28, 2016"
1349,"Our service was dysmal. Drinks were forgotten and never delivered. We always got the same meats ""leg of lamb"" 5 times and NO Garlic beef or filet mignon.",1," August 27, 2016"
1350,First time patrons to celebrate my husband's 50th.  Loved everything.  The food was fabulous and the water was awesome. I will definitely go back.,4," August 27, 2016"
1351,"Energetic and lively atmosphere, Fogo is a fun place to go with friends. The food is good, but we were really impressed with the service. The restaurant was very busy when we visited, but the staff was very attentive.",4," August 27, 2016"
1352,"We love it here, but the drink prices are outrageous.  I got a drink that was mostly ice and it was $16.  I find that to be way overpriced.  I wouldn't have had AS much of an issue paying $12, but $16 for what it was?  That is ridiculous - it was worth MAYBE $10.  However, the food was excellent and the ambiance was beautiful.",5," August 27, 2016"
1353,Their fire-roasted meats were cooked to perfection. The only complaint is it was slightly too salty for our liking. The pao de queijo is to die for and I would come back just for those.,5," August 26, 2016"
1354,"Everything was great! Staff were on top of everything. Always available, and would ask how everything was going. The manager (tall woman) was super kind and was always around. Overall, my husbands and I had a wonderful date night, and the staff at fogo de chão made it special. Thank you so much you guys! Keep it up!!!",5," August 26, 2016"
1355,"Come hungry because you will leave incredibly full! Fast, polite and attentive service. The most delicious meats I've ever had. We took our time and ate slowly, never once feeling rushed by the staff. Delicious key lime pie for dessert, if you save room!",5," August 26, 2016"
1356,This was my first time eating here. The food was amazing!!! The homemade lemonade was fantastic as well,5," August 26, 2016"
1357,"Went rest week, limited menu and no prime cuts.  Not a good value.",3," August 26, 2016"
1358,"The only drawbacks to this as a Brazilian restaurant was the lack of some common foods/drinks that you would always see at a barbecue in Brazil such as jello with sweetened condensed milk, Brazilian strawberry moose, Maracuja, and some other side dishes.  The deserts were more along the lines of New York style cheesecake and key lime pie; rather American.  The rest of the food, however, was more than enough of a departure from standard American fare to prove it was something new and exciting while still maintaining a pleasing set of flavors and textures to most palates.",5," August 26, 2016"
1359,"Good quality beef, but the price is totally out of this world. Definitely not worth it.",3," August 25, 2016"
1360,"To start: the food was absolutely delicious! The meat was cooked to anyone's needs. The waiter even brought over a specially cooked meat for one of my fellow patrons. Once you turn over the green card, there is an abundance of protein on your plate. The noise level was moderate-loud but not overbearing. I am excited to eat here again. <br/><br/>As a side note, make sure you do not 'stuff' yourself on the bread and salad, it is a tad tempting",5," August 24, 2016"
1361,"Pricey for the cuts of meats offered.  I had to request the filet mignon at least 7 times before the meat was offered.  Seems like all other types of pork, chicken and lower quality of meats are plentiful.  You need to be patient when waiting for higher qualities as well as for paying the bill.  Restaurant wasn't that busy but the wait to check out was at least 25 - 30 minutes long.",3," August 24, 2016"
1362,Food was good with lots of choices and fresh.  Staff was professional and very helpful and able to offer suggestions.,4," August 24, 2016"
1363,Great environment and great meat. Had a blast with friends for a birthday,5," August 23, 2016"
1364,The food was very good.  The only thing we were not impressed with was the pork ribs.  All other meat was excellent -- stand out is the top round.   <br/><br/>The cheese popovers were delicious.    The market table offered something for everyone.  It was jammed on a Monday night but they were not trying to rush anyone to free up a table.,5," August 22, 2016"
1365,Awesome cheese bread and salad bar was great! The meat just kept coming. Went for restaurant week so only 7 meats were searched but it was still plenty. Would definitely return to try all the meats. Servers and manager were all friendly and welcoming.  Definitely a recommend to try at least once.,5," August 21, 2016"
1366,Amazing as always!,5," August 21, 2016"
1367,This is our favorite steakhouse in Boston! Love love love the meats.,5," August 21, 2016"
1368,Food was great. Some of the servers were extremely helpful as others were just OK. I wish there were some different options as far as sides on the buffet table.,5," August 21, 2016"
1369,Service is always excellent. Staff could not be more attentive! And food is absolutely awesome!!!,5," August 21, 2016"
1370,"If you like meat, this place delivers every time.  Where else can you get unlimited, 10 types of off the skewer meats delivered and cut right in front of you to your liking?  A bit pricey but worth it!",5," August 20, 2016"
1371,"Fogo de Chao Brazilian Steakhouse is a must-go restaurant for meat lover. Also, there are salad and fruit bar for refreshing your tongue. Highly recommended.",4," August 19, 2016"
1372,"We had dinner at Fogo de Chao  during the Boston Dine Out week and we really enjoyed the food. The buffet (market table) was really good and the picanha was amazing! I also enjoyed the Key Lime Pie. Overall is a really good place even though is a bit expensive if, like in my case, you don't eat a lot",4," August 19, 2016"
1373,"I've been to several Brazilian Churrascarias (steakhouses) in my life, including several in Brazil and this was right up there with some of the best.  The fact that it was Restaurant Week and they offered a reduced price (with a few of the more expensive cuts of steak omitted) was a great value but even at full price this is a terrific experience.  If you've never done the brazilian steakhouse thing, this is one of those places where they come around with long rotisserie skewer after skewer of select cuts of steak, pork and chicken and slice off whatever you'd like (e.g. medium rare ).  Diners have a chip that they turn to green (serve me) or red (I'm taking a break).  They also provide side dishes for the table and you have access to an unbelievable full salad and seafood bar.  So, the moral of the story is arrive hungry because there is SO much incredbile delicious food that you don't want to under-do it.  You will leave uncomfortably full, no matter what.  <br/><br/>The desserts were great too, by the way.  Just big enough but not giant.",5," August 19, 2016"
1374,"Most amazing dining experience that I've had in Boston the last 5 years. Service is fast and friendly, food selection is extensive and well sourced, atmosphere and setup is efficient and organized. I would most certainly recommend to anyone interested in a fine buffet dining experience.",5," August 19, 2016"
1375,Great food as always!! The service is great too. The bread and meat selection is amazing!,5," August 19, 2016"
1376,The food is very good nice service but the Caipirinha price is very high.,4," August 19, 2016"
1377,We loved the market table and the sides that were brought to our table. It was nice to be able to choose from the types of meat being offered by the strolling servers with their skewers. The dessert was great too.,5," August 18, 2016"
1378,Excepcional Service! I love The food and salad bar.  I would vigila recommend this restaurant to my family and friends.,5," August 17, 2016"
1379,I've been here a few times now and have never been disappointed. It's a little pricey but well worth it.,5," August 17, 2016"
1380,"Exceptional Waiter Staff, Management,Chefs and of course their food!  Fogo always goes out of their way to please their clientele.  Thank you!",5," August 17, 2016"
1381,Love the different meats and the bread. Yummm,5," August 16, 2016"
1382,"My daughter and I went here for restaurant week. The salad bar is amazing with an array of fresh salads, meat, cheese, toppings and vegetables. The salad bar alone would be great by itself. It is too easy to fill up on the delicious side dishes. After we went to the salad bra we were given polenta, cooked bananas and cheese rolls (that are sooo delicious). The meat then stared arriving: several variations of beef, pork ,chicken and lamb. There are little coasters on the table that are turned to red to indicate that you need a break from all the food and then turn to green to ""fill up"".We had a choice of several cakes for dessert. The food was very good and plentiful. We were both so full after we ate. We would go back but only after fasting for week!!",5," August 16, 2016"
1383,"I found a lot of the food at the market bar wasn't very good - a lot of the vegetables had been roasted then chilled and they lost both texture and flavor that way. The soup was excellent, but I didn't care for much else. The cheesy bread was incredible, the roasted bananas tasty but mushy, the mashed potatoes decent, but the polenta fries had no flavor. I would have liked the option to have chicken without the bacon wrapping and most of the steak/lamb offerings were too underdone for my taste even though the servers tried to give me fairly well done pieces. The fattiness of the meat was also unpredictable. The top sirloin was the best option when it was lean and cooked through, but I had some pieces that were inedible. The dessert was tasty but tiny. The service was generally good, but a lot of the servers bypassed my table even when the ""please stop"" sign was showing. Water refills were plentiful, though, and they accommodated my request for a table in a specific location. Overall I enjoyed my meal, but even visiting during Restaurant Week when the food was less expensive I felt it overpriced for what I was willing to eat. I might go again at lunchtime or as a treat during a future Restaurant Week event, but I would not pay full price for dinner there. I would only recommend it for people who like all of the meats they offer, prefer their meat on the reddish side, and who are looking for a special meal in the Copley Square area.",2," August 16, 2016"
1384,Greatest place on the planetGreatest place on the planetGreatest place on the planetGreatest place on the planetGreatest place on the planetGreatest place on the planetGreatest place on the planetGreatest place on the planetGreatest place on the planetGreatest place on the planetGreatest place on the planet,5," August 14, 2016"
1385,"My group really enjoyed (in the beginning) the constant service of meats, but after a while, we were looking for the servers they disappeared, and there was slight disappointment amongst my eight guest.  Overall, it was a great dining experience.  I would go again.",4," August 14, 2016"
1386,"Fogo is a great place to dine if you like meat. I think it has one of the best salad bars ever. So really everyone should find something they like to eat. One warning - no matter how careful you are, you will overeat! We usually dine at the Minneapolis Fogo and the service in Minneapolis is outstanding (kudos to manager Matt &amp; his staff). Here in Boston it wasn't at the same level. We were brought the side dishes before my husband was finished his salad. It then took a long time before his salad dish was removed and a new plate delivered. By that time the side dishes were cold. I think our server realized we weren't impressed because she started to try a bit harder. I notice in Minneapolis all servers help each other.",4," August 14, 2016"
1387,I've been here before and the experience was amazing! I'm not sure if I'll be pressed to come back though. My waitress was ok but there was another woman there that was super amazing and helpful. My glass was dirty and she mad sure to fix the issue immediately. I can say the LAMB CHOPS are amazing.,3," August 14, 2016"
1388,"Food was excellent, and service during meal was fine. However, we had to wait in a long line just to check in despite having a reservation. Upon check-in, they gave us a buzzer, which would vibrate when our table is ready. Waited another 20 minutes or so. I did not experience this long wait in the last couple of times I was at Fogo. I understand that it gets crowded during peak times, but that is exactly why I made a reservation in advance. When I made a reservation at OpenTable, all the dinner times were marked as available. Maybe they overbook too much.",5," August 13, 2016"
1389,We never received our side dishes the whole meal. Staff seemed overwhelmed at the crowds.,3," August 13, 2016"
1390,Always on point and great food and service!,5," August 13, 2016"
1391,"Cold food bar was great with great selection! Sides were amazing, the bananas... I could have eatten them only and be happy!! Meats however for the most part were not tender at all! I expected more flavor and a lot more tenderness... I do not like getting steak on my plate and wishing I had A1 or something with flavor! Staff was amazing and friendly, and they brought me and my mom out a birthday flan when they learned we were celebrating our birthdays! Ps the flan was AMAZING!!",4," August 13, 2016"
1392,"Everything was very good!!  The food was very goo, the salad at excent. The waitress was very good.",5," August 12, 2016"
1393,Amazing food and more meat than anyone could ever consume. You flip over your coaster from red to green and you are practically inundated by a carnivore's dream.,5," August 12, 2016"
1394,Everything met my expectations<br/>Meal was delicious!,5," August 11, 2016"
1395,"Great food, but they did not have fairly common wines in stock (2 out of our 4 choices they did not have from their wine list).  The recommended substitute wines were nothing like the original choices...perhaps they should hire a wine steward!",4," August 11, 2016"
1396,Delicious array of meats and all you can eat,4," August 8, 2016"
1397,"Terrible overall. Mediocre service, low quality meats,  excellent salad bar.  This chains time has come and gone.  Way overpriced food and wine.",1," August 8, 2016"
1398,"It's not cheap! But if you want semiformal Brazilian BBQ, this is your only bet in the Boston area.<br/><br/>The only thing that justifies the price was the fact that you're getting hot all-you-can-eat meat in an upscale setting. Everthing was reasonably tasty, but the non-meat options were merely ""good"" rather than ""masterful"", which is less than I'd expect for the price of admission.<br/><br/>We were there about 2 hours, during which time we were not offered anything more exotic than lamb chops or bacon-wrapped steak. They had beef, pork, lamb, chicken. We were not offered any organ meats or offal (heart, liver, tongue, etc). Depending on your taste, the selection may be a bonus or a disappointment.",4," August 8, 2016"
1399,"If you like Brazilian churrasco, this is the place to go.  Genuine experience, great food.",1," August 7, 2016"
1400,"I have eaten at several Brazilian steakhouses throughout the country as well as several in Brazil. All the restaurants we have eaten at before served authentic Brazilian side dishes. This restaurant served American sides and the ""Brazilian"" mainstay of rice was cooked dry and tasteless. It is an embarrassment to Brazilian cuisine. Perhaps you are able to fool American patrons, but anyone who has ever eaten true Brazilian steakhouse cuisine will leave this restaurant sorely disappointed. Even more sad, half the meat cutters did not know how to properly cut the meat.  To top everything off, although we were asked how we wanted our meat cooked, reality was that everything was cooked one way, medium rare to raw... Utterly disappointed I drove 2 hours for such a letdown.",1," August 7, 2016"
1401,"I was disappointed at that many of the traditional Brazilian food was missing from the typical menu. Ans when I asked if there would be a fresh serving coming, I was told ""no."" and no explanation.",3," August 7, 2016"
1402,"I  had been to Fogo for business lunches and enjoyed the ambiance. I decided to share the experience with my wife and so booked this for our anniversary. I assumed it would be a classy ambiance and a romantic night out. It was not!! First off, it was a zoo with young kids running all over the place.  One of them even stole my wife's utensils while we were up at the salad bar. I also would have assumed the dress code would be a bit classier for a restaurant with $50 entree's. Much of the clientele looked like they walked in off the street, unwashed in dirty sandals, shorts and Tshirts. Gross! Definitely would not recommend this restaurant for a date night out!",3," August 6, 2016"
1403,"The service was excellent, the food was top notch as always.  We were celebrating our wedding that day with just our adult children.  The staff was extremely attentive.",5," August 6, 2016"
1404,My wife's first experience at a Fogo and she loved it as did I. Food and service were excellent,5," August 6, 2016"
1405,"Disappointing, particularly for the price.   With a couple of exceptions, most of the meats were under seasoned and lacked much flavor.   The lamb chops and especially the rib eye were excellent.",3," August 4, 2016"
1406,The food was excellent as well as the buffet. Unfortunately the service was very poor with service not knowing who drunk what and mixed up when serving. Also the service was rude when we asked about the meat and making jokes when we missunderstood what was what. NOT appreciated!!!!,4," August 3, 2016"
1407,"Excellent service and atmosphere, but a lot of the meat was over cooked and dry.",4," August 2, 2016"
1408,I've always gone with large groups and the group always leaves happy.,3," August 1, 2016"
1409,"The overall for this restaurant is very good especially from points of view such as location, service, food quality and environment.",4," July 31, 2016"
1410,"A little more family oriented than we were looking for, however,  food and service were great.",5," July 30, 2016"
1411,Food was great but our waiter was un friendly and rude,3," July 30, 2016"
1412,Food was fantastic! Service was very good. Absolutely no problem eating as much as you wanted. Went with 4 of my buddies and we had a great time. We definitely all want to go back again. Highly recommend this place.,5," July 30, 2016"
1413,"Really good food, I had a very bad experience ordering cocktails, both tasted really bad, after that I just order a coke.",4," July 29, 2016"
1414,"the selection of grilled meat is outstanding and it is by far the best salad bar of any high end steak house I've ever been too. The staff is extremely attentive , excellent service! Cheyenne was our server again this visit , she really is awesome, always makes sure we got everything we wanted..",5," July 29, 2016"
